trace_id,provider,model,prompt_id,sequence,arrival_ms,size_bytes,media_duration_ms,interarrival_ms,pacing_error_ms,cumulative_audio_ms,utterance_progress,cumulative_delivery_rtf
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,0,120.04089785147175,1920,40.0,0.0,0.0,40.0,0.02631578947368421,3.001022446286794
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,1,140.1449985429974,1920,40.0,20.104100691525645,-19.895899308474355,80.0,0.05263157894736842,1.7518124817874674
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,2,298.02478406988007,1920,40.0,157.87978552688267,117.87978552688267,120.0,0.07894736842105263,2.4835398672490006
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,3,316.66324553537095,1920,40.0,18.638461465490877,-21.361538534509123,160.0,0.10526315789473684,1.9791452845960684
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,4,331.6836293578687,1920,40.0,15.020383822497763,-24.979616177502237,200.0,0.13157894736842105,1.6584181467893435
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,5,348.6175222291191,1920,40.0,16.933892871250407,-23.066107128749593,240.0,0.15789473684210525,1.4525730092879963
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,6,363.1993680153409,1920,40.0,14.581845786221777,-25.418154213778223,280.0,0.18421052631578946,1.297140600054789
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,7,383.97370636851304,1920,40.0,20.77433835317214,-19.22566164682786,320.0,0.21052631578947367,1.1999178324016033
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,8,533.1677020075417,1920,40.0,149.19399563902869,109.19399563902869,360.0,0.23684210526315788,1.4810213944653936
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,9,550.1665346658648,1920,40.0,16.998832658323067,-23.001167341676933,400.0,0.2631578947368421,1.375416336664662
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,10,569.1548028912505,1920,40.0,18.988268225385696,-21.011731774614304,440.0,0.2894736842105263,1.2935336429346602
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,11,584.2284777863825,1920,40.0,15.073674895132058,-24.926325104867942,480.0,0.3157894736842105,1.2171426620549637
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,12,602.111743706751,1920,40.0,17.883265920368444,-22.116734079631556,520.0,0.34210526315789475,1.1579071994360597
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,13,625.8836419095093,1920,40.0,23.77189820275828,-16.22810179724172,560.0,0.3684210526315789,1.1176493605526951
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,14,783.4141636536083,1920,40.0,157.53052174409902,117.53052174409902,600.0,0.39473684210526316,1.3056902727560138
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,15,797.5177911327005,1920,40.0,14.10362747909221,-25.89637252090779,640.0,0.42105263157894735,1.2461215486448445
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,16,813.2720165112078,1920,40.0,15.754225378507272,-24.24577462149273,680.0,0.4473684210526316,1.1959882595753055
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,17,836.7044724058673,1920,40.0,23.432455894659483,-16.567544105340517,720.0,0.47368421052631576,1.162089545008149
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,18,850.3335595958189,1920,40.0,13.629087189951633,-26.370912810048367,760.0,0.5,1.1188599468366038
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,19,866.8752838948714,1920,40.0,16.541724299052476,-23.458275700947524,800.0,0.5263157894736842,1.083594104868589
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,20,1016.6667417881245,1920,40.0,149.7914578932531,109.7914578932531,840.0,0.5526315789473685,1.2103175497477672
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,21,1035.4009345602508,1920,40.0,18.734192772126335,-21.265807227873665,880.0,0.5789473684210527,1.176591971091194
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,22,1052.2115482447373,1920,40.0,16.810613684486498,-23.189386315513502,920.0,0.6052631578947368,1.143708204613845
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,23,1069.0506940804382,1920,40.0,16.839145835700947,-23.160854164299053,960.0,0.631578947368421,1.1135944730004566
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,24,1085.263973695715,1920,40.0,16.21327961527686,-23.78672038472314,1000.0,0.6578947368421053,1.085263973695715
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,25,1102.6546754916005,1920,40.0,17.390701795885434,-22.609298204114566,1040.0,0.6842105263157895,1.0602448802803852
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,26,1259.301152969305,1920,40.0,156.64647747770437,116.64647747770437,1080.0,0.7105263157894737,1.1660195860826896
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,27,1280.8349999245547,1920,40.0,21.533846955249828,-18.466153044750172,1120.0,0.7368421052631579,1.1436026785040667
bursty_same_ttfa-long_incident-r000,bursty_same_ttfa,synthetic-validation-v1,long_incident,28,1300.7972865982622,1920,40.0,19.962286673707467,-20.037713326292533,1160.0,0.7631578947368421,1.1213769712053985
